ano,distrito,concelho,energia_ativa_kwh,cpes,kwh_por_cpe,Preco_Final,annual_expenditure,concelho_limpo,income,energy_expenditure_ratio,energy_poverty
2022,Faro,Albufeira,237360903.736,53187,4462.761647319834,0.22104739916945426,986.4818552532387,albufeira,15724.280972253475,6.273621394796688,1
2022,Faro,Alcoutim,7369409.0,3695,1994.4273342354536,0.22104739916945426,440.86297506521487,alcoutim,16361.662596318458,2.6944876321090594,0
2022,Faro,Aljezur,22361754.0,6452,3465.86391816491,0.22104739916945426,766.1202049856076,aljezur,16172.916765863498,4.737056500548331,0
2022,Faro,Castro Marim,25788745.516,9246,2789.17861951114,0.22104739916945426,616.5406796619864,castro marim,16693.780791514764,3.693235746664208,0
2022,Faro,Faro,183518474.024,45463,4036.655610584431,0.22104739916945426,892.2922240624739,faro,20793.779915595023,4.291149698055947,0
2022,Faro,Lagoa,105869957.464,24110,4391.122250684363,0.22104739916945426,970.6461529488988,lagoa,17295.18739640377,5.6122326442714785,1
2022,Faro,Lagoa,105869957.464,24110,4391.122250684363,0.22104739916945426,970.6461529488988,lagoa,18223.42489084373,5.326365152340794,1
2022,Faro,Lagos,129512013.0,34268,3779.386395470993,0.22104739916945426,835.4235331752816,lagos,17433.207145800596,4.792139083694207,0
2022,Faro,Loulé,369372488.37,76710,4815.180398513883,0.22104739916945426,1064.3831036232302,loule,18203.54558619915,5.847119719524215,1
2022,Faro,Monchique,13941877.466,4540,3070.898120264317,0.22104739916945426,678.8140425987933,monchique,15255.558982263623,4.449617633729411,0
2022,Faro,Olhão,96096591.546,30132,3189.187294105934,0.22104739916945426,704.9615568263862,olhao,17427.580939013827,4.045091279698155,0
